T,x,y
1,14.1005,21.3555
1,13.8457,16.0477
1,16.9655,19.9421
1,13.9659,9.8370
1,22.2846,9.8352
1,11.8112,25.0489
1,17.6680,24.5128
1,14.2694,23.2233
1,21.3785,17.2362
1,16.4208,24.9994
1,13.9217,10.9349
1,19.5938,16.9303
1,16.2027,20.9390
1,21.2326,16.4639
1,9.2278,5.3596
1,20.7148,22.5792
1,9.3583,3.5575
1,11.4052,23.3477
1,18.6099,17.7769
1,9.3943,8.3625
1,22.5224,11.7270
1,14.7069,25.7627
1,14.3155,24.4291
1,23.6407,8.2997
1,13.7787,25.4317
1,14.5299,16.5094
1,20.1288,25.0401
1,12.2255,18.3087
1,15.5888,24.8699
1,12.4943,6.6556
2,15.2687,20.8716
2,14.9587,16.0262
2,17.5943,18.8665
2,15.1943,10.2377
2,22.4789,10.2858
2,12.4707,23.9877
2,18.1523,23.3443
2,14.7544,22.0540
2,21.5979,16.6250
2,17.0361,23.8530
2,15.0785,10.9409
2,20.6225,16.4141
2,16.7298,19.7955
2,21.1959,15.4251
2,9.0726,6.5853
2,21.1987,21.4110
2,9.3291,4.8209
2,12.5734,22.8636
2,19.6055,17.0434
2,10.4741,8.9417
2,23.7620,11.9764
2,15.2160,24.5951
2,14.7363,23.2374
2,22.9854,9.2767
2,14.2362,24.2557
2,15.8530,16.1185
2,20.6127,23.8719
2,13.3937,17.8248
2,16.0066,23.7009
2,11.9084,7.5454
3,16.4235,20.2448
3,16.1983,16.0636
3,18.5790,17.9978
3,16.4850,10.4202
3,22.3582,10.8740
3,13.4551,23.1365
3,18.6625,22.1150
3,15.4798,20.9741
3,21.6488,16.7634
3,17.5750,22.6297
3,16.3090,11.3377
3,21.1785,15.7156
3,17.6521,18.8801
3,21.7350,14.2125
3,8.9554,7.7964
3,21.6524,20.1662
3,9.1773,6.1275
3,13.8063,22.3385
3,20.5417,16.4327
3,11.6911,9.4633
3,15.7390,23.3721
3,15.2382,22.0045
3,22.5550,10.0648
3,14.7280,23.0252
3,17.2340,16.0146
3,21.1100,22.6387
3,14.6225,17.3158
3,16.4945,22.4686
3,11.5680,7.7721
4,17.2971,19.2571
4,17.5105,16.0712
4,19.5180,17.0489
4,17.7484,10.7877
4,22.9112,11.7513
4,14.3187,22.2562
4,19.1765,20.8775
4,16.4889,20.0980
4,21.6752,16.8016
4,18.0962,21.3953
4,17.6236,11.5844
4,21.6922,14.4794
4,18.6179,17.9654
4,22.2579,13.0280
4,9.7578,8.6215
4,21.6411,18.8566
4,8.9132,7.3846
4,14.8096,21.4969
4,21.0563,16.0086
4,12.7833,9.3220
4,16.2657,22.1423
4,15.7706,20.7918
4,22.4338,10.6917
4,15.4745,21.9603
4,18.5771,16.1636
4,21.5540,21.3776
4,15.8592,16.8035
4,16.9994,21.2288
4,11.6445,8.7050
5,18.2427,18.3117
5,18.8244,16.1827
5,20.6079,16.4156
5,19.0189,11.0823
5,15.1980,21.3630
5,19.6910,19.6388
5,17.4322,19.1206
5,21.1868,16.5253
5,18.6137,20.1594
5,18.9394,11.9061
5,22.1295,13.2499
5,19.5438,17.0216
5,23.2786,12.5683
5,10.9367,9.1785
5,21.6064,17.5249
5,9.4069,8.3836
5,15.6189,20.5288
5,21.5374,14.8412
5,13.9652,9.4876
5,17.0105,20.9440
5,16.6537,19.8553
5,22.9244,11.6033
5,16.1946,21.0034
5,19.7965,16.3986
5,21.6591,20.0625
5,17.0972,16.2911
5,17.5143,19.9972
5,12.5845,9.4090
6,19.1982,17.3695
6,19.6459,16.3252
6,21.0211,16.7658
6,20.2786,11.3692
6,16.0978,20.4691
6,20.2056,18.3999
6,18.4171,18.0766
6,21.2574,15.3900
6,19.1369,18.9238
6,20.2774,12.1918
6,23.0431,12.5820
6,19.9909,17.0818
6,12.1688,9.6634
6,21.5923,16.6583
6,10.5280,8.9863
6,16.4404,19.5874
6,21.9950,13.6102
6,15.1982,9.9617
6,17.7376,19.7266
6,17.4353,18.9829
6,16.9461,20.1350
6,20.4090,16.4200
6,21.6057,18.7288
6,18.3715,16.0395
